Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
34a210f9-5ce1-ad63-790f-e404455e3e18,1993-11-11,,999-17-3914,S99951712,X60064394X,Mr.,Alexis664,Alexis664,Heathcote539,,,S,white,nonhispanic,M,Sudbury  Massachusetts  US,417 Jacobs Avenue,Forestdale,Massachusetts,Barnstable County,25001,02644,41.652053809248414,-70.48273017283461,76578.32,15866.26,71625
0fe22cec-1a19-99da-b67f-7ce364c4cf3e,1987-08-02,,999-31-9665,S99995857,X51132243X,Mrs.,Mariel814,Tobi258,Lang846,,Sipes176,M,white,nonhispanic,F,Peabody  Massachusetts  US,644 Dibbert Corner Suite 64,Cambridge,Massachusetts,Middlesex County,25017,02472,42.410780281458294,-71.11068340617955,146375.89,544097.84,542941
b1f7b5a9-5cf5-6050-b23c-81027f53bdfd,1989-03-05,,999-86-4327,S99989586,X14035271X,Mrs.,Luetta803,Zenobia558,Dickens475,,Orn563,M,white,nonhispanic,F,Dover  Massachusetts  US,153 Quigley Branch,Walpole,Massachusetts,Norfolk County,25021,02081,42.16184378075951,-71.30787097200916,173374.13,476542.11,886745
1f2aa6c9-41bd-aa05-9da3-e557d8949816,1993-02-02,,999-34-4274,S99920797,X55368805X,Mrs.,Kittie678,Sigrid676,Braun514,,Lang846,M,white,nonhispanic,F,Acton  Massachusetts  US,895 Doyle Brook Apt 66,Quincy,Massachusetts,Norfolk County,25021,02169,42.303030147196125,-71.01774308277817,76375.47,647647.36,35850
80e114d1-013b-b546-7aba-17eb360dde04,1999-10-27,,999-36-2412,S99986563,X34475162X,Ms.,Jin479,Nida800,Ward668,,,,white,nonhispanic,F,Stoughton  Massachusetts  US,778 Harvey Annex Unit 36,Williamsburg,Massachusetts,Hampshire County,,00000,42.405202784369585,-72.69431575563166,135954.44,262321.29,149942
bc5d2ab0-ef61-ff19-87cd-0c586ec0422a,1982-06-30,,999-86-9908,S99990829,X32743755X,Mr.,Richie600,Raphael767,Feil794,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,156 Padberg Throughway Unit 10,Lawrence,Massachusetts,Essex County,25009,01843,42.75056925499971,-71.12021696526416,75595.47,25285.73,29650
2c489dce-38c7-4b0a-d7e2-5101383d93a1,2001-12-30,,999-23-9442,S99945082,X81264838X,Mr.,Dino214,Rigoberto443,Shanahan202,,,,white,nonhispanic,M,Bellingham  Massachusetts  US,880 Dickens Manor,Boston,Massachusetts,Suffolk County,25025,02126,42.379048756912646,-71.01554487186436,6709.98,75567.69,3836
bddb802b-a1f0-15c6-0d69-3b7511a9fd5f,2019-11-07,,999-48-7514,,,,Ulysses632,,McDermott739,,,,white,nonhispanic,M,Swampscott  Massachusetts  US,392 Flatley Loaf Unit 10,Reading,Massachusetts,Middlesex County,25017,01867,42.502332396996096,-71.08733664816236,17205.78,0.00,240908
95559bb7-a9a3-104c-a710-e9a1e22b312e,1977-08-19,,999-92-6076,S99917460,X63180445X,Mrs.,Pauline896,Kathlyn335,Weimann465,,Harber290,M,white,nonhispanic,F,Worcester  Massachusetts  US,787 Streich Road,Greenfield,Massachusetts,Franklin County,25011,01301,42.59283838066585,-72.64848119187023,16428.94,664276.96,13697
446d8007-ae35-2994-77cd-c44d9f4286a6,2007-01-13,,999-69-3816,S99946847,,Ms.,Jadwiga271,Stephaine613,Gerhold939,,,,white,nonhispanic,F,Lowell  Massachusetts  US,161 Toy Row Unit 54,Southbridge,Massachusetts,Worcester County,25027,01550,42.03466081230729,-71.98559882494405,3845.86,157388.01,8055
